"","x"
"1","M1 macrophage "
"2","Neutrophills "
"3","Plasma cells "
"4","Tumor purity "
"5","ORR "
"6","log10 MB "
"7","PDL1 (combined positive score)"
"8","T regs "
"9","Mutational Burden "
"10","M0 macrophage "
"11","PDL1 gene expression "
"12","TCR diversity "
"13","CD4 helper T cells "
"14","PDL1 protein expression "
"15","Neoantigen burden "
"16","fPD1 "
"17","Cytolytic score "
"18","Resting dendritic cells "
"19","ITH "
"20","M2 macrophage "
"21","CD4 resting T cells "
"22","Active NK cells "
"23","B cell naïve "
"24","Resting mast cells "
"25","Monocytes "
"26","CD8 T cells "
"27","T cell exhaustion signature "
"28","Extended immune signature "
"29","PD1 gene expression "
"30","CD4 active T cells "
"31","IFNg signature "
